#Photometry obtained for mwc 275: RA=17 56 21.2882, Dec=-21 57 21.872, cone search radius=10s
lam band lamFlam e_lamFlam f_lamFlam u_lamFlam beam obsDate ref
m -- W/m^2 W/m^2 -- -- arcsec -- --
0.00085 JCMT:SCUBA:F850 6.70124317882353e-15 7.053940188235294e-16 -- 13.8 averaged 2011ApJ...727...26S
0.00045 JCMT:SCUBA:F450 5.795987521333334e-14 2.4649602102222222e-15 -- 7.8 averaged 2011ApJ...727...26S
0.00088 SMA:F880 6.207066573590908e-15 2.0440394863636363e-17 -- 1.7 averaged 2017ApJ...845...44T
0.0013 OVRO:F1300 1.016988261369231e-15 2.7673149969230774e-17 -- 5 unknown 1997ApJ...490..792M
0.0013 CARMA:F1300 1.6257975606923078e-15 2.7673149969230774e-17 -- 0.7 unknown 2009ApJ...701..260I
0.001162 ALMA:F1162 2.2110338769879516e-15 1.2899847590361447e-17 -- 0.6 averaged 2017ApJ...835..231H
0.001254 ALMA:F1254 1.7093429622807017e-15 nan -- 0.035 averaged 2018ApJ...869L..41A
0.001073 ALMA:F1073 2.0088609254613234e-15 2.0116548905871393e-16 -- 0.5 2014May21 2015ApJ...813..128Q
0.001373 ALMA:F1373 1.3297422208448655e-15 nan -- 0.9 unknown 2015ApJ...813..128Q
3.64e-07 Johnson:U 2.4434105239340892e-11 nan -- 0.2 unknown 2017A&A...599A..85L
4.42e-07 Johnson:B 4.587254904658639e-11 nan -- 0.2 unknown 2017A&A...599A..85L
5.4e-07 Johnson:V 3.667762334172243e-11 nan -- 0.3 unknown 2017A&A...599A..85L
6.47e-07 Cousins:Rc 2.7955491921059522e-11 nan -- 0.3 unknown 2017A&A...599A..85L
7.865e-07 Cousins:Ic 1.9553996076078014e-11 nan -- 0.4 unknown 2017A&A...599A..85L
1.25e-06 Johnson:J 1.2262335706927115e-11 nan -- 0.4 unknown 2017A&A...599A..85L
1.6e-06 Johnson:H 1.23885960997836e-11 nan -- 0.5 unknown 2017A&A...599A..85L
